Song_ID,Type,Artist,Title,Year,Complex_award,Lyrics_Genius,Lyrics_API,Length,Amplitude,Stemmed_Genius,Stemmed_API
1,Mumble,Cardi B,South of the border,2019,0,you never live until you risk your life life you wanna shine you gotta get more ice ice ice am i your lover or im just your vice woo a little crazy but i'm just your type okurr you want the lips and the curves need the whips and the furs and the diamonds i prefer and my closet his and hers ayy he want the little mamacita margarita margarita i think that ed got a little jungle fever ayy woo you are more than you are more than something boring something boring legs up and tongue out michael jordan uh uh go exploring woo woo something foreign skrrt skrrt bust it open rainforest it be pouring yeah kiss me like you need me rub me like a genie pull up to my spot in lamborghini 'cause you gotta see me never leave me you got a girl that could finally do it all drop a album drop a baby but i never drop the ball uh,you never lived to you risk your life you want to sign you gotta get more eyes am I your lover oh I'm just your Vibe a little crazy but I'm just so glad someone that lives on the curvy the whips and the birds and the Diamonds Are hooker in my cousin his and hers a he won the loom Mamacita Margarita I think the egg gollu jungle fever a you want more than one more than four legs of his son out Michael Jordan go exploring kiss me like you mean me but me like a genie pull up to my spider Lamborghini cuz you gotta see me another Lily you got it girl then kapala do it all just a bunch of baby but I never did,40,140,you never live until you risk your life life you wanna shine you gotta get more ice ice ice am i your lover or im just your vice woo a littl crazi but i'm just your type okurr you want the lip and the curv need the whip and the fur and the diamond i prefer and my closet hi and her ayi he want the littl mamacita margarita margarita i think that ed got a littl jungl fever ayi woo you are more than you are more than someth bore someth bore leg up and tongu out michael jordan uh uh go explor woo woo someth foreign skrrt skrrt bust it open rainforest it be pour yeah kiss me like you need me rub me like a geni pull up to my spot in lamborghini 'caus you gotta see me never leav me you got a girl that could final do it all drop a album drop a babi but i never drop the ball uh,you never live to you risk your life you want to sign you gotta get more eye am i your lover oh i'm just your vibe a littl crazi but i'm just so glad someon that live on the curvi the whip and the bird and the diamond are hooker in my cousin hi and her a he won the loom mamacita margarita i think the egg gollu jungl fever a you want more than one more than four leg of hi son out michael jordan go explor kiss me like you mean me but me like a geni pull up to my spider lamborghini cuz you gotta see me anoth lili you got it girl then kapala do it all just a bunch of babi but i never did
2,Mumble,Cardi B,I like it,2018,0,now i like dollars i like diamonds i like stunting i like shining yeah i like million dollar deals where's my pen bitch i'm signing signing i like those balenciagas those the ones that look like socks i like going to the jeweler i put rocks all in my watch chaching i like texts from my exes when they want a second chance what i like proving niggas wrong i do what they say i can't they call me cardi bardi banging body spicy mami hot tamale hotter than a somali fur coat ferrari rrr woo hop out the stu' jump in the coupe coupe big dipper on top of the roof flexing on bitches as hard as i can eating halal driving the lam' told that bitch i'm sorry though sorry though 'bout my coins like mario mario yeah they call me cardi b i run this shit like cardio woo facts,I know I like Dallas I like dumb I like started I like son I like million dollar Tails was my pet bitch I'm sorry I like bows beneath the others are the ones that look like stops I like going to the Thule I could walk slowly my watch is from my ex is when they want a second chance I like moving niggas wall what they say I did it come buddy Price naked body spicy Mummy at Somali I don't care I'm sorry,43,503,now i like dollar i like diamond i like stunt i like shine yeah i like million dollar deal where' my pen bitch i'm sign sign i like those balenciaga those the one that look like sock i like go to the jewel i put rock all in my watch chach i like text from my exe when they want a second chanc what i like prove nigga wrong i do what they say i can't they call me cardi bardi bang bodi spici mami hot tamal hotter than a somali fur coat ferrari rrr woo hop out the stu' jump in the coup coup big dipper on top of the roof flex on bitch as hard as i can eat halal drive the lam' told that bitch i'm sorri though sorri though 'bout my coin like mario mario yeah they call me cardi b i run thi shit like cardio woo fact,i know i like dalla i like dumb i like start i like son i like million dollar tail wa my pet bitch i'm sorri i like bow beneath the other are the one that look like stop i like go to the thule i could walk slowli my watch is from my ex is when they want a second chanc i like move nigga wall what they say i did it come buddi price nake bodi spici mummi at somali i don't care i'm sorri
3,Mumble,Cardi B,Money,2018,0,bow shake a little ass money get a little bag and take it to the store store money get a little cash money shake it real fast and get a little more money i got bands in the coupe coupe busting out the roof i got bands in the coupe brrr busting out the roof cardi i gotta fly i need a jet shit i need room for my legs i got a baby i need some money yeah i need cheese for my egg all y'all bitches in trouble bring brass knuckles to the scuffle i heard that cardi went pop yeah i did go pop pop that's me busting they bubble i'm dasani with the drip baby mommy with the clip walk out follie's with a bitch bring a thottie to the whip if she fine or she thick goddamn walking past the mirror ooh damn i'm fine fine let a bitch try me boom boom hammer time uh,see below where you can go back into sports you look at you she could move fast but I got bands in the coop let's get the booth I gotta fly I need a ditch I need for my leg I got a point and he's the money get any cheat for my egg oh yeah this is in trouble you're in brass knuckles a scuffle I heard that great with hot yeah they go pop pop that's you must have Bubble I'm the son you with the dribble Maybe Mommy with the clip look out fires with a bitch you got thirty-two the Whip and she found out she had a bitch,44,65,bow shake a littl ass money get a littl bag and take it to the store store money get a littl cash money shake it real fast and get a littl more money i got band in the coup coup bust out the roof i got band in the coup brrr bust out the roof cardi i gotta fli i need a jet shit i need room for my leg i got a babi i need some money yeah i need chees for my egg all y'all bitch in troubl bring brass knuckl to the scuffl i heard that cardi went pop yeah i did go pop pop that' me bust they bubbl i'm dasani with the drip babi mommi with the clip walk out follie' with a bitch bring a thotti to the whip if she fine or she thick goddamn walk past the mirror ooh damn i'm fine fine let a bitch tri me boom boom hammer time uh,see below where you can go back into sport you look at you she could move fast but i got band in the coop let' get the booth i gotta fli i need a ditch i need for my leg i got a point and he' the money get ani cheat for my egg oh yeah thi is in troubl you'r in brass knuckl a scuffl i heard that great with hot yeah they go pop pop that' you must have bubbl i'm the son you with the dribbl mayb mommi with the clip look out fire with a bitch you got thirty-two the whip and she found out she had a bitch
4,Mumble,Cardi B,Please Me,2019,0,lollipopping popping twerking in some j's ooh on the dance floor uhhuh no panties in the way nope i take my time with it ow bring you close to me ow don't want no young dumb shit better fuck me like we listening to jodeci i was tryna lay low low taking it slow slow when i'm fucking again ayy gotta celebrate do you man look good better put him away if you can't sweat the weave out you shouldn't even be out dinner reservations like the pussy you gone eat out i'm gonna ride it do it just how you like it tonight and after that let's do it one more time,lollipop so I can listen days on the Dance Floor no pain you can do this way to take my time with it when you post to me I want no young dumb shit don't see outside and a load of taking it slow when I'm kicking again celebrate your man I'm gonna ride,38,31,lollipop pop twerk in some j' ooh on the danc floor uhhuh no panti in the way nope i take my time with it ow bring you close to me ow don't want no young dumb shit better fuck me like we listen to jodeci i wa tryna lay low low take it slow slow when i'm fuck again ayi gotta celebr do you man look good better put him away if you can't sweat the weav out you shouldn't even be out dinner reserv like the pussi you gone eat out i'm gonna ride it do it just how you like it tonight and after that let' do it one more time,lollipop so i can listen day on the danc floor no pain you can do thi way to take my time with it when you post to me i want no young dumb shit don't see outsid and a load of take it slow when i'm kick again celebr your man i'm gonna ride
5,Mumble,Cardi B,press,2019,0,ding dong must be that whip that i ordered and a new crib for my daughter you know a bad bitch gone spoil her got one in new york need one in georgia yeah new bentley truck cost a quarter quarter my money still long like weave woo pussy still wet like florida woo everyone drop on the floor she was talking but not anymore no mac to your face like contour brr this chopper come straight from dior done with the talking i'm open to violence ask anybody they know i'm about it hashtag whip that ho ass fuck around we gone start a new challenge woo i come in this bitch and i'm strapped up and ready riding that dick like i'm cardi andretti fuck at your crib we don't go to no 'telly i sit on his face whenever i'm ready woo bitch i'm a freak like greek like greek got the biggest house on my street my street all you little hoes look cheap look cheap they sucking on my dick with no teeth,big dong must be that whip that I ordered and you grab my daughter you know a bad bitch gospel hug out when the New York me want to talk you've been talking a quarter - too long like we but still wet like throw it up and you won't jump on the floor she was talking but not anymore let's see a physical tool to Tropical Shipping to your door with the talking I'm up in a bun ask anybody they know everybody has that was helpful come in this bitch I can party at his face whenever I'm ready,43,248,ding dong must be that whip that i order and a new crib for my daughter you know a bad bitch gone spoil her got one in new york need one in georgia yeah new bentley truck cost a quarter quarter my money still long like weav woo pussi still wet like florida woo everyon drop on the floor she wa talk but not anymor no mac to your face like contour brr thi chopper come straight from dior done with the talk i'm open to violenc ask anybodi they know i'm about it hashtag whip that ho ass fuck around we gone start a new challeng woo i come in thi bitch and i'm strap up and readi ride that dick like i'm cardi andretti fuck at your crib we don't go to no 'telli i sit on hi face whenev i'm readi woo bitch i'm a freak like greek like greek got the biggest hous on my street my street all you littl hoe look cheap look cheap they suck on my dick with no teeth,big dong must be that whip that i order and you grab my daughter you know a bad bitch gospel hug out when the new york me want to talk you'v been talk a quarter - too long like we but still wet like throw it up and you won't jump on the floor she wa talk but not anymor let' see a physic tool to tropic ship to your door with the talk i'm up in a bun ask anybodi they know everybodi ha that wa help come in thi bitch i can parti at hi face whenev i'm readi
6,Mumble,21 Savage,a lot,2018,0,every day that i'm alive ima ride with the stick i'd rather be broke in jail than be dead and rich told my brothers take my breath if i turn to a snitch but i'm twenty-one  four l aint no way i'ma switch break it down i break it down i break it down i break it down i break it down i break it down i break it down i break it down penitentiary chances just to make a couple bucks my heart so cold i could put it in my cup gang vs the world me and my dawg it was us then you went and wrote a statement and that really fucked me up my brother lost his life and it turned me to a beast my brother got life and it turned me to the streets i been through the storm and it turned me to a g but the other side was sunny i get paid to rap on beats ,every day that I'm alive from around fifty stick I rather be broken tiered and be dead Rich tell my brother's take my breath if I turn to a sneaky but I'm twenty-one for La no way it was sweet my heart so cold I could put it in my cup game vs. the World me and my dog it was us then you went and wrote a statement and they really are me up my brother lost his life in eternity to Abby's my brother got life in eternity to the streets I've been through the storm anytime to a geek but the other side with Sonny I get paid a trap on Beat,53,98,everi day that i'm aliv ima ride with the stick i'd rather be broke in jail than be dead and rich told my brother take my breath if i turn to a snitch but i'm twenty-on  four l aint no way i'ma switch break it down i break it down i break it down i break it down i break it down i break it down i break it down i break it down penitentiari chanc just to make a coupl buck my heart so cold i could put it in my cup gang vs the world me and my dawg it wa us then you went and wrote a statement and that realli fuck me up my brother lost hi life and it turn me to a beast my brother got life and it turn me to the street i been through the storm and it turn me to a g but the other side wa sunni i get paid to rap on beat ,everi day that i'm aliv from around fifti stick i rather be broken tier and be dead rich tell my brother' take my breath if i turn to a sneaki but i'm twenty-on for la no way it wa sweet my heart so cold i could put it in my cup game vs. the world me and my dog it wa us then you went and wrote a statement and they realli are me up my brother lost hi life in etern to abby' my brother got life in etern to the street i'v been through the storm anytim to a geek but the other side with sonni i get paid a trap on beat
7,Mumble,21 Savage,bank account,2017,0,ruler clipumm sent a ruler hit pull up on yo' bitch she say that i got a ruler dick spray your block down we not really with that ruhrah shit glock cocked now i don't really give no fuck 'bout who i hit yeah yo' bitch she get jiggy with me keep that siggy with me bitch i'm mad max you know i got ziggy with me keep a mad mag in case a nigga wanna get busy with me 'rari matte black and i got a bentley with me i got twelve ,ruler cook to send a ruler here pull up on your bitch she say that I got a ruler dicks for your block down we not really with every brush it Glock caught now I'm really getting the fuck out who I hear ya your fishy get jiggy with me keep that shit with me bitch I'm mad man you know I got City with me keep a mad mad isn't it want to get busy with me robbery matte black and I gotta be at least I got one too,26,75,ruler clipumm sent a ruler hit pull up on yo' bitch she say that i got a ruler dick spray your block down we not realli with that ruhrah shit glock cock now i don't realli give no fuck 'bout who i hit yeah yo' bitch she get jiggi with me keep that siggi with me bitch i'm mad max you know i got ziggi with me keep a mad mag in case a nigga wanna get busi with me 'rari matt black and i got a bentley with me i got twelv ,ruler cook to send a ruler here pull up on your bitch she say that i got a ruler dick for your block down we not realli with everi brush it glock caught now i'm realli get the fuck out who i hear ya your fishi get jiggi with me keep that shit with me bitch i'm mad man you know i got citi with me keep a mad mad isn't it want to get busi with me robberi matt black and i gotta be at least i got one too
8,Mumble,21 Savage,yessirsskii,2020,0,let a nigga get inside yeah gotta wear a seatbelt when you ride yeah i'm keeping my jimmy on tied yeah i can count that shit with no eye straight up you killed my partner we ride straight up straight up little nigga we aingt letting shit slide straight up straight up y'all niggas aingt letting shit die straight up yeah straight up straight up hit a nigga bitch outside twenty-one then i pulled up the vlive twenty-one and we had them sticks outside twenty-one drinking on lean i'm tired on god y'all niggas can't join my live on god i aingt giving no high fives straight up y'all niggas fuck around and be wired straight up yeah drophead phantom on me twenty-one whole lotta hunnids on me on god whole lotta rubber bands nigga fuck a rubber band nigga whole bookbag me straight up ten m's yessirski on god whole lotta hoes they ski on god cocaine white like teeth on god on god on god on god on god la hoes on deck twenty-one thirty rounds hanging out the tec ,let me get his ass where CW rap I'll keep my Jeanette and Count Their she went out you kill my partner week we're learning to wean let's just that got Niggas Ain't learned shit - yeah hit me bitch ass at it I put V lab and we have this as a dragon only knock tap dancing's can enjoy my laughs I ain't Givin no half are ya nigga thing around everywhere yeah drive half-animal me whole lot of studies on me whole lot of rubber bands for the Rubber and nigga whole book made me whole lot of holiday ski cocaine white like to eat it,44,133,let a nigga get insid yeah gotta wear a seatbelt when you ride yeah i'm keep my jimmi on tie yeah i can count that shit with no eye straight up you kill my partner we ride straight up straight up littl nigga we aingt let shit slide straight up straight up y'all nigga aingt let shit die straight up yeah straight up straight up hit a nigga bitch outsid twenty-on then i pull up the vlive twenty-on and we had them stick outsid twenty-on drink on lean i'm tire on god y'all nigga can't join my live on god i aingt give no high five straight up y'all nigga fuck around and be wire straight up yeah drophead phantom on me twenty-on whole lotta hunnid on me on god whole lotta rubber band nigga fuck a rubber band nigga whole bookbag me straight up ten m' yessirski on god whole lotta hoe they ski on god cocain white like teeth on god on god on god on god on god la hoe on deck twenty-on thirti round hang out the tec ,let me get hi ass where cw rap i'll keep my jeanett and count their she went out you kill my partner week we'r learn to wean let' just that got nigga ain't learn shit - yeah hit me bitch ass at it i put v lab and we have thi as a dragon onli knock tap dancing' can enjoy my laugh i ain't givin no half are ya nigga thing around everywher yeah drive half-anim me whole lot of studi on me whole lot of rubber band for the rubber and nigga whole book made me whole lot of holiday ski cocain white like to eat it
9,Mumble,21 Savage,Immortal,2019,0,brand new mak ninety with the drum attached drum you a shit talker we got drums for that on god tryna fist fight boy you dumb for that stupid you gone get a bullet in your lung for that stupid draco get to kicking like liu kang twenty-one fn on me in the mulsanne straight up straight up glock nineteen in the blue flame straight up straight up i was strapped when i slid inside your boo thang on god twenty-one immortal we'll never die twenty-one loyal to my brothers yeah i'll never lie on god call me bird dog 'cause i cheat and i'm fly straight up and i love winning i'm upset if it's a tie on god get you off the ground just to knock you to the floor yeah let's go blow for blow yeah let's go toe to toe straight up when it's time to battle they don't never ever show twenty-one when it's time to battle i'm the first one at the door twenty-one at the door with a draco don't nobody move i don't wanna have to blow rapping ass niggas get spinned at they show that's why i need some help i got a fetish for the smoke it get fatal in the bottom used to rumble in the den twenty-one ,when you met ninety with the drama attached you are shit Taco we got transfer that trying to fish fight what you done for that stupid you gonna get a bullet in your lawn for that stupid drink I'll get the kicking light Liu Kang F and then Nami in a moose sign Lot nineteen in the blue flank I was scrapped when I slid inside your boo thang twenty-one Immortal we are never doctor lawyer to my brother's yeah I never lie Tommy Burke how could I cheat and I'm flash better and I love of winning I was said if it's a tiger get you off the ground just to knock you to the blow here let's go blow for blow let's go Toe to Toe straight when it's time to batter down never have a show when it kind of got on the first month at the door where the dough with a draco don't nobody move on one that has a blue wrapping that niggas is spent at the show so I need some help I got a fetish for the Smoky get fatal in the bottom used to rumbling then Tory,55,227,brand new mak nineti with the drum attach drum you a shit talker we got drum for that on god tryna fist fight boy you dumb for that stupid you gone get a bullet in your lung for that stupid draco get to kick like liu kang twenty-on fn on me in the mulsann straight up straight up glock nineteen in the blue flame straight up straight up i wa strap when i slid insid your boo thang on god twenty-on immort we'll never die twenty-on loyal to my brother yeah i'll never lie on god call me bird dog 'caus i cheat and i'm fli straight up and i love win i'm upset if it' a tie on god get you off the ground just to knock you to the floor yeah let' go blow for blow yeah let' go toe to toe straight up when it' time to battl they don't never ever show twenty-on when it' time to battl i'm the first one at the door twenty-on at the door with a draco don't nobodi move i don't wanna have to blow rap ass nigga get spin at they show that' whi i need some help i got a fetish for the smoke it get fatal in the bottom use to rumbl in the den twenty-on ,when you met nineti with the drama attach you are shit taco we got transfer that tri to fish fight what you done for that stupid you gonna get a bullet in your lawn for that stupid drink i'll get the kick light liu kang f and then nami in a moos sign lot nineteen in the blue flank i wa scrap when i slid insid your boo thang twenty-on immort we are never doctor lawyer to my brother' yeah i never lie tommi burk how could i cheat and i'm flash better and i love of win i wa said if it' a tiger get you off the ground just to knock you to the blow here let' go blow for blow let' go toe to toe straight when it' time to batter down never have a show when it kind of got on the first month at the door where the dough with a draco don't nobodi move on one that ha a blue wrap that nigga is spent at the show so i need some help i got a fetish for the smoki get fatal in the bottom use to rumbl then tori
10,Mumble,21 Savage,Secret,2020,0,got a darkskin girl five ' eight with the brown eyes we been up and down had a couple crashes but she still ride she go to school got two jobs drive the same kia 'cause it still slide work so hard on her off day she be still tired i just wanna take away the pain i just wanna put you up on game i just wanna help you make you better wish you would've never gave it to that lame even if we do our own thang the bond we got can't be explained girl i'm just speaking for future reference oh oh 'cause i understand feelings change yeahyeah yeah ,got a dice game girl fat eight wee bit up and down had a couple crashes but she still right she go to school got two jobs out of sync here because it still slide were so hard on the off day she'd be still tied I just want to take away the pain I just want to put you up on gang I just want to help you make better wish you would have never gave it to that line even if we do our own thing about we got can't be explained God I'm just speaking for future reference because I understand things change,30,103,got a darkskin girl five ' eight with the brown eye we been up and down had a coupl crash but she still ride she go to school got two job drive the same kia 'caus it still slide work so hard on her off day she be still tire i just wanna take away the pain i just wanna put you up on game i just wanna help you make you better wish you would'v never gave it to that lame even if we do our own thang the bond we got can't be explain girl i'm just speak for futur refer oh oh 'caus i understand feel chang yeahyeah yeah ,got a dice game girl fat eight wee bit up and down had a coupl crash but she still right she go to school got two job out of sync here becaus it still slide were so hard on the off day she'd be still tie i just want to take away the pain i just want to put you up on gang i just want to help you make better wish you would have never gave it to that line even if we do our own thing about we got can't be explain god i'm just speak for futur refer becaus i understand thing chang
